                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2366,                0.76113,                 1.1718,                0.84653,                0.87356,                0.89679,                0.56237,                 1.3505,                0.78507,                 1.2384,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2596,                0.79588,                 1.1797,                 0.7819,                0.83908,                0.86983,                0.50726,                 1.4389,                0.90361,                 1.3126,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2299,                0.73191,                 1.1546,                0.84575,                0.85057,                0.87052,                 0.5313,                 1.3117,                  0.792,                 1.2498,               0.001307,               0.001307,               0.001307
                     38,                 1.2442,                 0.7562,                 1.1681,                0.81913,                0.85057,                0.87726,                0.53582,                 1.3655,                0.86911,                 1.2581,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.198,                0.75573,                 1.1454,                0.82879,                0.83908,                0.85201,                0.50796,                 1.4239,                0.85082,                  1.271,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.178,                0.72523,                 1.1441,                0.87498,                0.83908,                0.89061,                0.54979,                 1.3568,                0.77574,                 1.2517,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2171,                0.75861,                 1.1688,                0.77172,                0.89374,                 0.8355,                0.47761,                 1.4242,                0.83421,                 1.2719,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1835,                 0.7093,                 1.1328,                0.88401,                 0.8046,                0.89211,                0.53317,                 1.4189,                0.85897,                 1.2845,               0.001208,               0.001208,               0.001208
                     43,                 1.1775,                0.72637,                 1.1427,                0.90287,                0.89655,                0.93166,                0.57563,                 1.2802,                0.74499,                 1.2151,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2168,                0.72355,                 1.1708,                0.86142,                0.85744,                0.89775,                0.56515,                 1.2836,                0.78454,                 1.2224,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1162,                0.69332,                 1.1249,                0.87303,                0.85057,                0.90173,                0.54343,                 1.3217,                0.81177,                 1.2372,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1627,                 0.7037,                 1.1167,                0.83903,                0.86207,                  0.859,                0.51186,                 1.2618,                0.83191,                 1.1981,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1479,                0.68684,                 1.1226,                0.83262,                0.86207,                0.83152,                0.47222,                 1.3856,                0.85998,                 1.2588,               0.001109,               0.001109,               0.001109
                     48,                 1.1583,                0.69312,                 1.1459,                0.87164,                0.88506,                0.88334,                0.52014,                 1.3913,                0.75142,                 1.2801,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1571,                0.70544,                 1.1207,                0.86293,                 0.8684,                0.88498,                0.53077,                 1.3042,                0.77972,                 1.2135,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1374,                0.65945,                  1.099,                0.86585,                0.81607,                0.86549,                0.53577,                 1.3193,                0.92192,                 1.2432,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1281,                0.68259,                  1.131,                0.86145,                0.85057,                0.90523,                0.55344,                 1.3325,                0.82563,                 1.2464,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1312,                0.66578,                 1.1313,                0.86309,                0.86958,                0.89929,                0.53053,                 1.4077,                0.84181,                 1.2799,                0.00101,                0.00101,                0.00101
                     53,                 1.1157,                0.65658,                 1.1068,                0.86505,                0.88506,                0.90952,                0.53051,                  1.384,                0.79101,                 1.2929,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1264,                0.64254,                 1.1118,                0.85151,                0.85689,                0.91146,                0.54562,                 1.4219,                0.79058,                 1.3024,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0911,                0.64548,                 1.0939,                0.85606,                0.86207,                0.90354,                0.53304,                 1.4366,                0.71751,                 1.2841,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0752,                0.63193,                 1.0791,                0.87236,                0.85057,                0.86845,                0.52799,                 1.4154,                0.75773,                 1.2638,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0721,                0.63924,                 1.0777,                0.85202,                0.86038,                0.89032,                0.52988,                 1.4201,                0.77931,                 1.2719,               0.000911,               0.000911,               0.000911
                     58,                  1.074,                0.61507,                 1.0975,                0.83103,                0.85057,                0.88947,                0.52814,                 1.4211,                0.81363,                 1.2775,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0453,                 0.5971,                 1.0745,                0.80734,                0.86702,                0.88818,                0.51188,                 1.4588,                0.80413,                 1.2914,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0838,                0.61682,                 1.1025,                0.80723,                0.86207,                0.83005,                0.50305,                 1.4199,                0.78078,                 1.2786,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0755,                0.63686,                 1.0899,                0.86795,                0.85057,                0.89031,                0.53057,                 1.3581,                0.77511,                 1.2454,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0647,                0.62688,                 1.1111,                0.88868,                0.82759,                0.90132,                0.55266,                 1.3679,                0.75711,                 1.2729,               0.000812,               0.000812,               0.000812
                     63,                 1.0179,                 0.6118,                 1.0703,                0.84232,                 0.8046,                0.86013,                0.52394,                 1.4326,                0.80179,                 1.2966,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0386,                0.61177,                  1.089,                 0.8664,                0.83908,                0.83871,                0.49132,                 1.4544,                0.79884,                 1.3367,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.026,                0.58949,                 1.0827,                 0.8773,                0.82186,                0.87834,                 0.5222,                 1.3817,                0.75696,                 1.3178,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0149,                0.59167,                 1.0848,                0.81844,                0.82905,                0.85927,                0.50317,                 1.4336,                0.77083,                 1.2987,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0142,                0.59812,                  1.061,                0.80958,                0.83078,                0.83868,                0.49514,                 1.4106,                 0.8025,                 1.2818,               0.000713,               0.000713,               0.000713
                     68,                  1.019,                0.58675,                 1.0927,                0.82584,                0.82759,                0.84583,                0.51557,                 1.3723,                0.80092,                 1.2351,              0.0006932,              0.0006932,              0.0006932
                     69,                0.99147,                0.56717,                  1.052,                0.88409,                0.78161,                0.88586,                  0.534,                 1.4139,                0.80261,                 1.2588,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0223,                 0.5825,                 1.0676,                0.83675,                0.85057,                0.89055,                0.55346,                 1.3767,                0.72699,                  1.228,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0318,                0.60623,                 1.0708,                0.82942,                0.89424,                0.91638,                0.54269,                 1.3901,                0.76011,                 1.2356,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0062,                0.56984,                 1.0577,                 0.8027,                0.90805,                 0.9165,                0.56683,                 1.3071,                0.71287,                 1.2219,               0.000614,               0.000614,               0.000614
                     73,                 1.0013,                0.55668,                 1.0538,                0.89267,                0.83908,                0.91051,                0.58312,                 1.3428,                0.69953,                 1.2417,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0239,                0.57781,                 1.0714,                0.85176,                0.86207,                0.88346,                0.55058,                 1.3836,                0.73456,                 1.3025,              0.0005744,              0.0005744,              0.0005744
                     75,                0.97578,                 0.5671,                 1.0428,                0.79724,                0.90805,                  0.879,                0.53539,                 1.3941,                0.76134,                 1.2997,              0.0005546,              0.0005546,              0.0005546
